assessmentId,internalTaxonId,scientificName,kingdomName,phylumName,orderName,className,familyName,genusName,speciesName,infraType,infraName,infraAuthority,authority,redlistCategory,redlistCriteria,criteriaVersion,populationTrend,scopes
197414812,22473777,Bitis armata,ANIMALIA,CHORDATA,SQUAMATA,REPTILIA,VIPERIDAE,Bitis,armata,,,,"(A. Smith, 1826)",Vulnerable,"B1ab(i,iii,iv,v)",3.1,Decreasing,Global
197415744,42680235,Bradypodion kentanicum,ANIMALIA,CHORDATA,SQUAMATA,REPTILIA,CHAMAELEONIDAE,Bradypodion,kentanicum,,,,"(Hewitt, 1935)",Endangered,"B1ab(i,ii,iii,v)",3.1,Decreasing,Global
197416110,42683297,Bradypodion ngomeense,ANIMALIA,CHORDATA,SQUAMATA,REPTILIA,CHAMAELEONIDAE,Bradypodion,ngomeense,,,,"Tilbury &amp; Tolley, 2009",Vulnerable,D2,3.1,Stable,Global
197423495,110160538,Hemicordylus nebulosus,ANIMALIA,CHORDATA,SQUAMATA,REPTILIA,CORDYLIDAE,Hemicordylus,nebulosus,,,,"(Mouton &amp; Van Wyk, 1995)",Vulnerable,D1,3.1,Stable,Global
197497364,22692486,Rallus antarcticus,ANIMALIA,CHORDATA,GRUIFORMES,AVES,RALLIDAE,Rallus,antarcticus,,,,"King, 1828",Vulnerable,C2a(ii),3.1,Decreasing,Global
197515963,188228424,Hyalinobatrachium yaku,ANIMALIA,CHORDATA,ANURA,AMPHIBIA,CENTROLENIDAE,Hyalinobatrachium,yaku,,,,"Guayasamin, Cisneros-Heredia, Maynard, Lynch, Culebras &amp; Hamilton, 2017",Endangered,B1ab(iii),3.1,Decreasing,Global
197518655,178693707,Pristimantis nangaritza,ANIMALIA,CHORDATA,ANURA,AMPHIBIA,STRABOMANTIDAE,Pristimantis,nangaritza,,,,"Páez &amp; Ron, 2019",Critically Endangered,B1ab(iii),3.1,Decreasing,Global
197831931,12553,Macaca maura,ANIMALIA,CHORDATA,PRIMATES,MAMMALIA,CERCOPITHECIDAE,Macaca,maura,,,,"(H.R. Schinz, 1825)",Endangered,A2acd+4acd,3.1,Decreasing,Global
197945974,197945955,Raorchestes keirasabinae,ANIMALIA,CHORDATA,ANURA,AMPHIBIA,RHACOPHORIDAE,Raorchestes,keirasabinae,,,,"Garg, Suyesh, Das, Bee &amp; Biju, 2021",Vulnerable,B1ab(iii),3.1,Decreasing,Global
197957213,22695998,Harpia harpyja,ANIMALIA,CHORDATA,ACCIPITRIFORMES,AVES,ACCIPITRIDAE,Harpia,harpyja,,,,"(Linnaeus, 1758)",Vulnerable,A3cd+4cd,3.1,Decreasing,Global
198267330,14941,Nycticebus pygmaeus,ANIMALIA,CHORDATA,PRIMATES,MAMMALIA,LORISIDAE,Nycticebus,pygmaeus,,,,"Bonhote, 1907",Endangered,A2cd+4cd,3.1,Decreasing,Global
198283980,198283746,Pseudophilautus limbus,ANIMALIA,CHORDATA,ANURA,AMPHIBIA,RHACOPHORIDAE,Pseudophilautus,limbus,,,,"(Manamendra-Arachchi &amp; Pethiyagoda, 2005)",Endangered,B1ab(iii),3.1,Decreasing,Global
198284219,198284210,Pseudophilautus fulvus,ANIMALIA,CHORDATA,ANURA,AMPHIBIA,RHACOPHORIDAE,Pseudophilautus,fulvus,,,,"(Manamendra-Arachchi &amp; Pethiyagoda, 2005)",Endangered,B1ab(iii),3.1,Decreasing,Global
198290632,198289841,Pseudophilautus hankeni,ANIMALIA,CHORDATA,ANURA,AMPHIBIA,RHACOPHORIDAE,Pseudophilautus,hankeni,,,,"Meegaskumbura &amp; Manamendra-Arachchi, 2011",Endangered,B1ab(iii),3.1,Decreasing,Global
198373401,197439881,Hypopachus guancasco,ANIMALIA,CHORDATA,ANURA,AMPHIBIA,MICROHYLIDAE,Hypopachus,guancasco,,,,"Firneno, Itgen, Jacobs, Mcdaniels, Luque-Montes, Wilson &amp; Townsend, 2021",Endangered,B1ab(iii),3.1,Decreasing,Global
198435213,22691186,Treron psittaceus,ANIMALIA,CHORDATA,COLUMBIFORMES,AVES,COLUMBIDAE,Treron,psittaceus,,,,"(Temminck, 1808)",Endangered,C2a(ii),3.1,Decreasing,Global
198480599,22733974,Pyrrhura pfrimeri,ANIMALIA,CHORDATA,PSITTACIFORMES,AVES,PSITTACIDAE,Pyrrhura,pfrimeri,,,,"Miranda-Ribeiro, 1920",Endangered,A2c+3c+4c,3.1,Decreasing,Global
198532259,104062579,Pachyptila macgillivrayi,ANIMALIA,CHORDATA,PROCELLARIIFORMES,AVES,PROCELLARIIDAE,Pachyptila,macgillivrayi,,,,"(Mathews, 1912)",Critically Endangered,A3be+4be,3.1,Decreasing,Global
198625572,29430,Dendropsophus amicorum,ANIMALIA,CHORDATA,ANURA,AMPHIBIA,HYLIDAE,Dendropsophus,amicorum,,,,"(Mijares-Urrutia, 1998)",Critically Endangered,B1ab(iii)+2ab(iii),3.1,Unknown,Global
198625862,54495,Atelopus carbonerensis,ANIMALIA,CHORDATA,ANURA,AMPHIBIA,BUFONIDAE,Atelopus,carbonerensis,,,,"Rivero, 1974",Critically Endangered,D,3.1,Decreasing,Global
198626117,54500,Atelopus chrysocorallus,ANIMALIA,CHORDATA,ANURA,AMPHIBIA,BUFONIDAE,Atelopus,chrysocorallus,,,,"La Marca, 1994",Critically Endangered,"B1ab(iii,v)",3.1,Decreasing,Global
198626366,54502,Atelopus cruciger,ANIMALIA,CHORDATA,ANURA,AMPHIBIA,BUFONIDAE,Atelopus,cruciger,,,,"(Lichtenstein &amp; Martens, 1856)",Critically Endangered,B1ab(iii)c(iv)+2ab(iii)c(iv),3.1,Stable,Global
198626705,54529,Atelopus mucubajiensis,ANIMALIA,CHORDATA,ANURA,AMPHIBIA,BUFONIDAE,Atelopus,mucubajiensis,,,,"Rivero, 1974",Critically Endangered,"B1ab(iii,v); D",3.1,Decreasing,Global
198626957,54535,Atelopus oxyrhynchus,ANIMALIA,CHORDATA,ANURA,AMPHIBIA,BUFONIDAE,Atelopus,oxyrhynchus,,,,"Boulenger, 1903",Critically Endangered,D,3.1,Decreasing,Global
198627195,54542,Atelopus pinangoi,ANIMALIA,CHORDATA,ANURA,AMPHIBIA,BUFONIDAE,Atelopus,pinangoi,,,,"Rivero, 1982",Critically Endangered,D,3.1,Decreasing,Global
198627429,54554,Atelopus sorianoi,ANIMALIA,CHORDATA,ANURA,AMPHIBIA,BUFONIDAE,Atelopus,sorianoi,,,,"La Marca, 1983",Critically Endangered,D,3.1,Decreasing,Global
198627627,54558,Atelopus tamaense,ANIMALIA,CHORDATA,ANURA,AMPHIBIA,BUFONIDAE,Atelopus,tamaense,,,,"La Marca, García-Pérez &amp; Renjifo, 1990",Critically Endangered,B1ab(v),3.1,Decreasing,Global
198627993,54757,Rhinella sclerocephala,ANIMALIA,CHORDATA,ANURA,AMPHIBIA,BUFONIDAE,Rhinella,sclerocephala,,,,"(Mijares-Urrutia &amp; Arends, 2001)",Vulnerable,B1ab(iii),3.1,Stable,Global
198628838,54850,Oreophrynella huberi,ANIMALIA,CHORDATA,ANURA,AMPHIBIA,BUFONIDAE,Oreophrynella,huberi,,,,"Diego-Aransay &amp; Gorzula, 1990",Vulnerable,D2,3.1,Stable,Global
198629056,54852,Oreophrynella nigra,ANIMALIA,CHORDATA,ANURA,AMPHIBIA,BUFONIDAE,Oreophrynella,nigra,,,,"Señaris, Ayarzagüena &amp; Gorzula, 1994",Vulnerable,D2,3.1,Stable,Global
198629271,54854,Oreophrynella vasquezi,ANIMALIA,CHORDATA,ANURA,AMPHIBIA,BUFONIDAE,Oreophrynella,vasquezi,,,,"Señaris, Ayarzagüena &amp; Gorzula, 1994",Vulnerable,D2,3.1,Unknown,Global
198629477,54901,Centrolene altitudinalis,ANIMALIA,CHORDATA,ANURA,AMPHIBIA,CENTROLENIDAE,Centrolene,altitudinalis,,,,"(Rivero, 1968)",Endangered,B1ab(iii),3.1,Unknown,Global
198630022,54951,Vitreorana castroviejoi,ANIMALIA,CHORDATA,ANURA,AMPHIBIA,CENTROLENIDAE,Vitreorana,castroviejoi,,,,"(Ayarzagüena &amp; Señaris, 1997)",Endangered,"B1ab(ii,iii)",3.1,Stable,Global
198630291,54958,Cochranella duidaeana,ANIMALIA,CHORDATA,ANURA,AMPHIBIA,CENTROLENIDAE,Cochranella,duidaeana,,,,"(Ayarzagüena, 1992)",Vulnerable,D2,3.1,Unknown,Global
198630525,54987,Cochranella riveroi,ANIMALIA,CHORDATA,ANURA,AMPHIBIA,CENTROLENIDAE,Cochranella,riveroi,,,,"(Ayarzagüena, 1992)",Vulnerable,D2,3.1,Unknown,Global
