internalTaxonId,scientificName,name,language,main
14126,Myotis capaccinii,Murciélago Ratonero Patudo,Spanish; Castilian,false
14126,Myotis capaccinii,Murin de Capaccini,French,false
14126,Myotis capaccinii,Vespertilio di Capaccini,Italian,false
14126,Myotis capaccinii,Long-fingered Bat,English,true
14172,Myotis leibii,Eastern Small-footed Myotis,English,false
14155,Myotis dominicensis,Dominican Myotis,English,true
22839,Vampyressa melissa,Melissa's Yellow-eared Bat,English,false
14159,Myotis findleyi,Findley's Myotis,English,true
40036,Tadarida latouchei,La Touche's Free-tailed Bat,English,true
14199,Myotis scotti,Scott's Mouse-eared Bat,English,true
14193,Myotis pilosus,Rickett's Big-footed Bat,English,false
14193,Myotis pilosus,Dazu Shu'Erfu,Chinese,false
14193,Myotis pilosus,Rickett's Big-footed Myotis,English,true
14202,Myotis sicarius,Mandelli's Mouse-eared Bat,English,false
14202,Myotis sicarius,Mandelli's Mouse-eared Myotis,English,true
40025,Paratriaenops auritus,Triénope doré,French,false
40025,Paratriaenops auritus,Grandidier's Trident Bat,English,true
29473,Pteralopex taki,New Georgia Monkey-faced Bat,English,false
29473,Pteralopex taki,New Georgian Monkey-faced Bat,English,true
14189,Myotis peninsularis,Peninsular Myotis,English,true
29485,Murina ryukyuana,Ryukyu Tube-nosed Bat,English,true
14191,Myotis planiceps,Flat-headed Myotis,English,true
44784,Rhinolophus ruwenzorii,Rhinolophe du Rwenzori,French,false
44784,Rhinolophus ruwenzorii,Ruwenozori-Hufetsennase,German,false
44784,Rhinolophus ruwenzorii,Ruwenzori Horseshoe Bat,English,true
44786,Rhinolophus ziama,Rhinolophe de Ziama,French,false
44786,Rhinolophus ziama,Ziama Hufeisennase,German,false
44786,Rhinolophus ziama,Ziama Horseshoe Bat,English,true
14209,Myotis vivesi,Fish-eating Myotis,English,false
14209,Myotis vivesi,Fish-eating Bat,English,true
14260,Mystacina robusta,Pekapeka,Maori,false
14260,Mystacina robusta,New Zealand Greater Short-tailed Bat,English,true
14261,Mystacina tuberculata,Pekapeka,Maori,false
14261,Mystacina tuberculata,New Zealand Lesser Short-tailed Bat,English,true
1154,Amorphochilus schnablii,Smokey Bat,English,false
